dataset,model,strategy,k_pct,mean_rmse,std_rmse,mean_mae,mean_mape,mean_selection_time_s,mean_total_time_s
Superconductor,xgboost,baseline,1.0,9.935843370661683,0.34932781415916564,6.159749627382004,7.2220984949314335,1.9619788508862258e-06,4.507414284638944
Superconductor,xgboost,custom_shap_rfe,0.05,13.480413457781088,0.4849926452577712,8.694969422516147,8.207824495787309,1.7334780714008958e-05,3.990538173340028
Superconductor,xgboost,custom_shap_rfe,0.1,11.0984668707605,0.45179819480633965,7.012099186509669,7.6100014178813,1.3679639378096909e-05,4.019012563457945
Superconductor,xgboost,custom_shap_rfe,0.15,10.70007466242048,0.38892206735073265,6.736163869984053,7.420124715587559,1.3416560541372747e-05,4.043316107701976
Superconductor,xgboost,custom_shap_rfe,0.25,10.346394603572996,0.36692135696230965,6.48108439188908,7.23019689041347,1.2546501238830388e-05,4.143222179640725
Superconductor,xgboost,custom_shap_rfe,0.5,10.0554982965519,0.3738031181409012,6.266081479652222,7.375954771061663,1.2103878543712198e-05,4.2790404022592705
Superconductor,xgboost,hybrid_fi_custom_shap_rfe,0.05,13.510114684339547,0.4953348949350034,8.660977779427,8.342326570691764,94.15850413263921,98.1836623256799
Superconductor,xgboost,hybrid_fi_custom_shap_rfe,0.1,11.150525432353588,0.3563511573556459,7.052952067408057,7.813413108251687,96.73866119467974,100.79236670102021
Superconductor,xgboost,hybrid_fi_custom_shap_rfe,0.15,10.698222094961856,0.3371791048548048,6.734439057761302,7.249920268426802,100.48784757811896,104.47813366697956
Superconductor,xgboost,hybrid_fi_custom_shap_rfe,0.25,10.340938629320224,0.372018083116299,6.477424222400629,7.264603355730375,107.05202657900023,111.08309816530003
Superconductor,xgboost,hybrid_fi_custom_shap_rfe,0.5,10.045281590408496,0.3689820550161676,6.25191351777963,7.240229684605267,126.72053868479998,130.7564000170803
Superconductor,xgboost,native_fi,0.05,13.439960818113363,0.418755490293525,8.688666452178753,8.253378096795345,1.358319423161447e-06,4.015162436697283
Superconductor,xgboost,native_fi,0.1,11.204010464594505,0.3736369886807456,7.108536641377421,7.833986354626956,1.1011186870746315e-06,4.073122660121589
Superconductor,xgboost,native_fi,0.15,10.704840327462078,0.33200842317397417,6.733944168956592,7.5456375897730155,1.2617206084541976e-06,4.1152971110033105
Superconductor,xgboost,native_fi,0.25,10.295364060884944,0.35793548666024677,6.462336041474239,7.513853322062959,1.151219184976071e-06,4.1876967593608425
Superconductor,xgboost,native_fi,0.5,10.07935556376389,0.3486017106673498,6.271719506619949,7.080491100744057,1.6491208225488663e-06,4.289285231261456
