dataset_instance,k_pct,strategy,selection_time_ratio_vs_native_fi,total_time_ratio_vs_native_fi
Exp2A-Superconductor,0.05,custom_shap_rfe,12.761932442711291,0.9938671812795923
Exp2A-Superconductor,0.05,hybrid_fi_custom_shap_rfe,69319854.02482736,24.45322297008785
Exp2A-Superconductor,0.05,native_fi,1.0,1.0
Exp2A-Superconductor,0.1,custom_shap_rfe,12.423401345081098,0.986715328464469
Exp2A-Superconductor,0.1,hybrid_fi_custom_shap_rfe,87854890.0588434,24.74572339493734
Exp2A-Superconductor,0.1,native_fi,1.0,1.0
Exp2A-Superconductor,0.15,custom_shap_rfe,10.633543156444201,0.9825089170089628
Exp2A-Superconductor,0.15,hybrid_fi_custom_shap_rfe,79643501.82187487,25.387749863218932
Exp2A-Superconductor,0.15,native_fi,1.0,1.0
Exp2A-Superconductor,0.25,custom_shap_rfe,10.898446970453481,0.9893797038621045
Exp2A-Superconductor,0.25,hybrid_fi_custom_shap_rfe,92990134.26467991,26.526060636313687
Exp2A-Superconductor,0.25,native_fi,1.0,1.0
Exp2A-Superconductor,0.5,custom_shap_rfe,7.33959475752938,0.9976115300219444
Exp2A-Superconductor,0.5,hybrid_fi_custom_shap_rfe,76841270.17991433,30.484426417738028
Exp2A-Superconductor,0.5,native_fi,1.0,1.0
Exp2B-Allstate,0.05,custom_shap_rfe,22.73085012795301,0.9558705296617939
Exp2B-Allstate,0.05,hybrid_fi_custom_shap_rfe,80141496.40272397,16.492685998265525
Exp2B-Allstate,0.05,native_fi,1.0,1.0
Exp2B-Allstate,0.1,custom_shap_rfe,8.853364418222746,0.9979198567357745
Exp2B-Allstate,0.1,hybrid_fi_custom_shap_rfe,94521084.79011482,16.978224395178376
Exp2B-Allstate,0.1,native_fi,1.0,1.0
Exp2B-Allstate,0.15,custom_shap_rfe,7.4881536057888685,1.024556125693172
Exp2B-Allstate,0.15,hybrid_fi_custom_shap_rfe,80735334.6182855,15.787246862124695
Exp2B-Allstate,0.15,native_fi,1.0,1.0
Exp2B-Allstate,0.25,custom_shap_rfe,7.774067588155604,1.023468483808031
Exp2B-Allstate,0.25,hybrid_fi_custom_shap_rfe,97528132.25907956,18.331198951507872
Exp2B-Allstate,0.25,native_fi,1.0,1.0
Exp2B-Allstate,0.5,custom_shap_rfe,5.138988094981661,1.0423052897308398
Exp2B-Allstate,0.5,hybrid_fi_custom_shap_rfe,84645592.15901132,20.197890730005728
Exp2B-Allstate,0.5,native_fi,1.0,1.0
